name	x	y	z
Fp1	0.950000	0.309000	-0.035000
AF3	0.871000	0.406000	0.276000
F7	0.587000	0.809000	-0.035000
F3	0.673000	0.545000	0.500000
FC1	0.375000	0.375000	0.848000
FC5	0.341000	0.888000	0.309000
T7	0.000000	0.999000	-0.035000
C3	0.000000	0.719000	0.695000
CP1	-0.375000	0.375000	0.848000
CP5	-0.341000	0.888000	0.309000
P7	-0.587000	0.809000	-0.035000
P3	-0.673000	0.545000	0.500000
Pz	-0.719000	-0.000000	0.695000
PO3	-0.871000	0.406000	0.276000
O1	-0.950000	0.309000	-0.035000
Oz	-0.999000	-0.000000	-0.035000
O2	-0.950000	-0.309000	-0.035000
PO4	-0.871000	-0.406000	0.276000
P4	-0.673000	-0.545000	0.500000
P8	-0.587000	-0.809000	-0.035000
CP6	-0.341000	-0.888000	0.309000
CP2	-0.375000	-0.375000	0.848000
C4	0.000000	-0.719000	0.695000
T8	0.000000	-0.999000	-0.035000
FC6	0.341000	-0.888000	0.309000
FC2	0.375000	-0.375000	0.848000
F4	0.673000	-0.545000	0.500000
F8	0.587000	-0.809000	-0.035000
AF4	0.871000	-0.406000	0.276000
Fp2	0.950000	-0.309000	-0.035000
Fz	0.719000	-0.000000	0.695000
Cz	0.000000	0.000000	1.000000
EXG1	n/a	n/a	n/a
EXG2	n/a	n/a	n/a
EXG3	n/a	n/a	n/a
EXG4	n/a	n/a	n/a
EXG5	n/a	n/a	n/a
EXG6	n/a	n/a	n/a
